seed,delta,gamma,status,safe_mode_activations,disconnect_steps,replans,path_len
22,1.0,1.0,ok,0,6,0,54
22,1.0,2.0,ok,0,6,0,54
22,1.0,4.0,ok,0,6,0,54
22,2.0,0.0,ok,1,9,1,1
22,2.0,0.5,ok,0,4,0,54
22,2.0,1.0,ok,0,6,0,54
22,2.0,2.0,ok,0,6,0,54
22,2.0,4.0,ok,0,6,0,54
23,0.0,0.0,ok,1,23,1,5
23,0.0,0.5,ok,1,6,1,1
23,0.0,1.0,ok,1,6,1,1
23,0.0,2.0,ok,1,6,1,1
23,0.0,4.0,ok,1,6,1,1
23,0.5,0.0,ok,1,23,1,5
23,0.5,0.5,ok,1,6,1,1
23,0.5,1.0,ok,1,6,1,1
23,0.5,2.0,ok,1,6,1,1
23,0.5,4.0,ok,1,6,1,1
23,1.0,0.0,ok,1,23,1,5
23,1.0,0.5,ok,1,6,1,1
23,1.0,1.0,ok,1,6,1,1
23,1.0,2.0,ok,1,6,1,1
23,1.0,4.0,ok,1,6,1,1
23,2.0,0.0,ok,1,21,1,5
23,2.0,0.5,ok,1,6,1,1
23,2.0,1.0,ok,1,6,1,1
23,2.0,2.0,ok,1,6,1,1
23,2.0,4.0,ok,1,6,1,1
24,0.0,0.0,ok,1,18,1,5
24,0.0,0.5,ok,1,12,1,4
24,0.0,1.0,ok,1,11,1,4
24,0.0,2.0,ok,1,8,1,4
24,0.0,4.0,ok,1,7,1,3
24,0.5,0.0,ok,1,18,1,5
24,0.5,0.5,ok,1,14,1,5
24,0.5,1.0,ok,1,11,1,4
24,0.5,2.0,ok,1,8,1,4
24,0.5,4.0,ok,1,8,1,3
24,1.0,0.0,ok,1,18,1,5
24,1.0,0.5,ok,1,17,1,5
24,1.0,1.0,ok,1,12,1,4
24,1.0,2.0,ok,1,8,1,4
24,1.0,4.0,ok,1,8,1,4
24,2.0,0.0,ok,1,18,1,5
24,2.0,0.5,ok,1,18,1,5
24,2.0,1.0,ok,1,12,1,4
24,2.0,2.0,ok,1,11,1,4
24,2.0,4.0,ok,1,8,1,4
25,0.0,0.0,ok,0,9,0,54
25,0.0,0.5,ok,0,6,0,54
25,0.0,1.0,ok,0,6,0,54
25,0.0,2.0,ok,0,6,0,54
25,0.0,4.0,ok,0,6,0,54
25,0.5,0.0,ok,0,9,0,54
25,0.5,0.5,ok,0,6,0,54
25,0.5,1.0,ok,0,6,0,54
25,0.5,2.0,ok,0,6,0,54
25,0.5,4.0,ok,0,6,0,54
25,1.0,0.0,ok,0,9,0,54
25,1.0,0.5,ok,0,6,0,54
25,1.0,1.0,ok,0,6,0,54
25,1.0,2.0,ok,0,6,0,54
25,1.0,4.0,ok,0,6,0,54
25,2.0,0.0,ok,0,9,0,54
25,2.0,0.5,ok,0,7,0,54
25,2.0,1.0,ok,0,6,0,54
25,2.0,2.0,ok,0,6,0,54
25,2.0,4.0,ok,0,6,0,54
26,0.0,0.0,ok,1,20,1,0
26,0.0,0.5,ok,1,11,1,0
26,0.0,1.0,ok,1,8,1,0
26,0.0,2.0,ok,1,7,1,0
26,0.0,4.0,ok,0,5,0,54
26,0.5,0.0,ok,1,20,1,0
26,0.5,0.5,ok,1,11,1,0
26,0.5,1.0,ok,1,11,1,0
26,0.5,2.0,ok,1,7,1,0
26,0.5,4.0,ok,0,5,0,54
26,1.0,0.0,ok,1,20,1,0
26,1.0,0.5,ok,1,16,1,0
26,1.0,1.0,ok,1,11,1,0
26,1.0,2.0,ok,1,7,1,0
26,1.0,4.0,ok,1,7,1,0
26,2.0,0.0,ok,1,20,1,0
26,2.0,0.5,ok,1,16,1,0
26,2.0,1.0,ok,1,11,1,0
26,2.0,2.0,ok,1,8,1,0
26,2.0,4.0,ok,1,7,1,0
27,0.0,0.0,ok,1,7,1,2
27,0.0,0.5,ok,1,7,1,2
27,0.0,1.0,ok,0,5,0,54
27,0.0,2.0,ok,0,5,0,54
27,0.0,4.0,ok,0,5,0,54
27,0.5,0.0,ok,1,7,1,2
27,0.5,0.5,ok,1,7,1,2
27,0.5,1.0,ok,0,5,0,54
27,0.5,2.0,ok,0,5,0,54
27,0.5,4.0,ok,0,5,0,54
27,1.0,0.0,ok,1,7,1,2
27,1.0,0.5,ok,1,7,1,2
27,1.0,1.0,ok,0,7,0,54
27,1.0,2.0,ok,0,5,0,54
27,1.0,4.0,ok,0,5,0,54
27,2.0,0.0,ok,1,7,1,2
27,2.0,0.5,ok,1,7,1,2
27,2.0,1.0,ok,1,7,1,2
27,2.0,2.0,ok,0,5,0,54
27,2.0,4.0,ok,0,5,0,54
28,0.0,0.0,ok,1,23,1,24
28,0.0,0.5,ok,1,16,1,5
28,0.0,1.0,ok,1,15,1,5
28,0.0,2.0,ok,1,10,1,4
28,0.0,4.0,ok,1,9,1,4
28,0.5,0.0,ok,1,23,1,24
28,0.5,0.5,ok,1,16,1,5
28,0.5,1.0,ok,1,15,1,5
28,0.5,2.0,ok,1,10,1,4
28,0.5,4.0,ok,1,9,1,4
28,1.0,0.0,ok,1,23,1,29
28,1.0,0.5,ok,1,16,1,5
28,1.0,1.0,ok,1,15,1,5
28,1.0,2.0,ok,1,10,1,4
28,1.0,4.0,ok,1,9,1,4
28,2.0,0.0,ok,1,24,1,29
28,2.0,0.5,ok,1,20,1,5
28,2.0,1.0,ok,1,16,1,5
28,2.0,2.0,ok,1,15,1,5
28,2.0,4.0,ok,1,10,1,4
29,0.0,0.0,ok,1,21,1,23
29,0.0,0.5,ok,1,7,1,1
29,0.0,1.0,ok,1,8,1,2
29,0.0,2.0,ok,1,8,1,2
29,0.0,4.0,ok,1,8,1,2
29,0.5,0.0,ok,1,21,1,23
29,0.5,0.5,ok,1,7,1,1
29,0.5,1.0,ok,1,8,1,2
29,0.5,2.0,ok,1,8,1,2
29,0.5,4.0,ok,1,8,1,2
29,1.0,0.0,ok,1,21,1,23
29,1.0,0.5,ok,1,7,1,1
29,1.0,1.0,ok,1,7,1,1
29,1.0,2.0,ok,1,8,1,2
29,1.0,4.0,ok,1,8,1,2
29,2.0,0.0,ok,1,22,1,23
29,2.0,0.5,ok,1,7,1,1
29,2.0,1.0,ok,1,7,1,1
29,2.0,2.0,ok,1,8,1,2
29,2.0,4.0,ok,1,8,1,2
