cell_id,row,col,center_x,center_z,covered,uncertainty
544,17,17,-6.0463482786254446,-15.832993293053043,0,0.8
545,17,18,-5.0463482786254446,-15.832993293053043,0,0.8
546,17,19,-4.0463482786254446,-15.832993293053043,0,0.8
547,17,20,-3.046348278625445,-15.832993293053043,0,0.8
548,17,21,-2.046348278625445,-15.832993293053043,1,0.2
549,17,22,-1.0463482786254446,-15.832993293053043,1,0.2
550,17,23,-0.0463482786254445,-15.832993293053043,1,0.2
551,17,24,0.9536517213745554,-15.832993293053043,0,0.8
552,17,25,1.9536517213745557,-15.832993293053043,0,0.8
553,17,26,2.9536517213745554,-15.832993293053043,0,0.8
554,17,27,3.953651721374555,-15.832993293053043,0,0.8
555,17,28,4.9536517213745554,-15.832993293053043,0,0.8
556,17,29,5.9536517213745554,-15.832993293053043,0,0.8
557,17,30,6.9536517213745554,-15.832993293053043,0,0.8
558,18,0,-23.046348278625445,-14.832993293053043,0,0.8
559,18,1,-22.046348278625445,-14.832993293053043,0,0.8
560,18,2,-21.046348278625445,-14.832993293053043,0,0.8
561,18,3,-20.046348278625445,-14.832993293053043,1,0.2
562,18,4,-19.046348278625445,-14.832993293053043,1,0.2
563,18,5,-18.046348278625445,-14.832993293053043,1,0.2
564,18,6,-17.046348278625445,-14.832993293053043,0,0.8
565,18,7,-16.046348278625445,-14.832993293053043,0,0.8
566,18,8,-15.046348278625445,-14.832993293053043,0,0.8
567,18,9,-14.046348278625445,-14.832993293053043,0,0.8
568,18,10,-13.046348278625445,-14.832993293053043,0,0.8
569,18,11,-12.046348278625445,-14.832993293053043,0,0.8
570,18,12,-11.046348278625445,-14.832993293053043,0,0.8
571,18,13,-10.046348278625445,-14.832993293053043,0,0.8
572,18,14,-9.046348278625445,-14.832993293053043,0,0.8
573,18,15,-8.046348278625445,-14.832993293053043,0,0.8
574,18,16,-7.0463482786254446,-14.832993293053043,0,0.8
575,18,17,-6.0463482786254446,-14.832993293053043,0,0.8
576,18,18,-5.0463482786254446,-14.832993293053043,0,0.8
577,18,19,-4.0463482786254446,-14.832993293053043,0,0.8
578,18,20,-3.046348278625445,-14.832993293053043,0,0.8
579,18,21,-2.046348278625445,-14.832993293053043,1,0.2
580,18,22,-1.0463482786254446,-14.832993293053043,1,0.2
581,18,23,-0.0463482786254445,-14.832993293053043,1,0.2
582,18,24,0.9536517213745554,-14.832993293053043,0,0.8
583,18,25,1.9536517213745557,-14.832993293053043,0,0.8
584,18,26,2.9536517213745554,-14.832993293053043,0,0.8
585,18,27,3.953651721374555,-14.832993293053043,0,0.8
586,18,28,4.9536517213745554,-14.832993293053043,0,0.8
587,18,29,5.9536517213745554,-14.832993293053043,0,0.8
588,18,30,6.9536517213745554,-14.832993293053043,0,0.8
589,19,0,-23.046348278625445,-13.832993293053043,0,0.8
590,19,1,-22.046348278625445,-13.832993293053043,0,0.8
591,19,2,-21.046348278625445,-13.832993293053043,0,0.8
592,19,3,-20.046348278625445,-13.832993293053043,0,0.8
593,19,4,-19.046348278625445,-13.832993293053043,0,0.8
594,19,5,-18.046348278625445,-13.832993293053043,0,0.8
595,19,6,-17.046348278625445,-13.832993293053043,0,0.8
596,19,7,-16.046348278625445,-13.832993293053043,0,0.8
597,19,8,-15.046348278625445,-13.832993293053043,0,0.8
598,19,9,-14.046348278625445,-13.832993293053043,0,0.8
599,19,10,-13.046348278625445,-13.832993293053043,0,0.8
600,19,11,-12.046348278625445,-13.832993293053043,0,0.8
601,19,12,-11.046348278625445,-13.832993293053043,0,0.8
602,19,13,-10.046348278625445,-13.832993293053043,0,0.8
603,19,14,-9.046348278625445,-13.832993293053043,0,0.8
604,19,15,-8.046348278625445,-13.832993293053043,0,0.8
605,19,16,-7.0463482786254446,-13.832993293053043,0,0.8
606,19,17,-6.0463482786254446,-13.832993293053043,0,0.8
607,19,18,-5.0463482786254446,-13.832993293053043,0,0.8
608,19,19,-4.0463482786254446,-13.832993293053043,0,0.8
609,19,20,-3.046348278625445,-13.832993293053043,1,0.2
610,19,21,-2.046348278625445,-13.832993293053043,1,0.2
611,19,22,-1.0463482786254446,-13.832993293053043,1,0.2
612,19,23,-0.0463482786254445,-13.832993293053043,0,0.8
613,19,24,0.9536517213745554,-13.832993293053043,0,0.8
614,19,25,1.9536517213745557,-13.832993293053043,0,0.8
615,19,26,2.9536517213745554,-13.832993293053043,0,0.8
616,19,27,3.953651721374555,-13.832993293053043,0,0.8
617,19,28,4.9536517213745554,-13.832993293053043,0,0.8
618,19,29,5.9536517213745554,-13.832993293053043,0,0.8
619,19,30,6.9536517213745554,-13.832993293053043,0,0.8
620,20,0,-23.046348278625445,-12.832993293053043,0,0.8
621,20,1,-22.046348278625445,-12.832993293053043,0,0.8
622,20,2,-21.046348278625445,-12.832993293053043,0,0.8
623,20,3,-20.046348278625445,-12.832993293053043,0,0.8
624,20,4,-19.046348278625445,-12.832993293053043,0,0.8
625,20,5,-18.046348278625445,-12.832993293053043,0,0.8
626,20,6,-17.046348278625445,-12.832993293053043,0,0.8
627,20,7,-16.046348278625445,-12.832993293053043,0,0.8
628,20,8,-15.046348278625445,-12.832993293053043,0,0.8
629,20,9,-14.046348278625445,-12.832993293053043,0,0.8
630,20,10,-13.046348278625445,-12.832993293053043,0,0.8
631,20,11,-12.046348278625445,-12.832993293053043,0,0.8
632,20,12,-11.046348278625445,-12.832993293053043,0,0.8
633,20,13,-10.046348278625445,-12.832993293053043,0,0.8
634,20,14,-9.046348278625445,-12.832993293053043,0,0.8
635,20,15,-8.046348278625445,-12.832993293053043,0,0.8
636,20,16,-7.0463482786254446,-12.832993293053043,0,0.8
637,20,17,-6.0463482786254446,-12.832993293053043,0,0.8
638,20,18,-5.0463482786254446,-12.832993293053043,0,0.8
639,20,19,-4.0463482786254446,-12.832993293053043,0,0.8
640,20,20,-3.046348278625445,-12.832993293053043,1,0.2
641,20,21,-2.046348278625445,-12.832993293053043,1,0.2
642,20,22,-1.0463482786254446,-12.832993293053043,1,0.2
643,20,23,-0.0463482786254445,-12.832993293053043,0,0.8
644,20,24,0.9536517213745554,-12.832993293053043,0,0.8
645,20,25,1.9536517213745557,-12.832993293053043,0,0.8
646,20,26,2.9536517213745554,-12.832993293053043,0,0.8
647,20,27,3.953651721374555,-12.832993293053043,0,0.8
648,20,28,4.9536517213745554,-12.832993293053043,0,0.8
649,20,29,5.9536517213745554,-12.832993293053043,0,0.8
650,20,30,6.9536517213745554,-12.832993293053043,0,0.8
651,21,0,-23.046348278625445,-11.832993293053043,0,0.8
652,21,1,-22.046348278625445,-11.832993293053043,0,0.8
653,21,2,-21.046348278625445,-11.832993293053043,0,0.8
654,21,3,-20.046348278625445,-11.832993293053043,0,0.8
655,21,4,-19.046348278625445,-11.832993293053043,0,0.8
656,21,5,-18.046348278625445,-11.832993293053043,0,0.8
657,21,6,-17.046348278625445,-11.832993293053043,0,0.8
658,21,7,-16.046348278625445,-11.832993293053043,0,0.8
659,21,8,-15.046348278625445,-11.832993293053043,0,0.8
660,21,9,-14.046348278625445,-11.832993293053043,0,0.8
661,21,10,-13.046348278625445,-11.832993293053043,0,0.8
662,21,11,-12.046348278625445,-11.832993293053043,0,0.8
663,21,12,-11.046348278625445,-11.832993293053043,0,0.8
664,21,13,-10.046348278625445,-11.832993293053043,0,0.8
665,21,14,-9.046348278625445,-11.832993293053043,0,0.8
666,21,15,-8.046348278625445,-11.832993293053043,0,0.8
